import_country,export_country,unknown1,trade,trade_prime,dist1,dist2,dist3,dist4,dist5,dist6,border,r_and_d,human_capital,density,labor,wage,common_language,both_in_EU,both_in_EFTA,distance,edu_year
5,7,90,-2.819,-1.49,0,1,0,0,0,0,0,3.081,0.323,-0.142,2.205,0.138,0,1,0,0.639,9.54
5,8,90,-1.384,0.177,1,0,0,0,0,0,1,3.499,0.402,0.753,2.373,0.187,0,1,0,0.224,10.33
5,9,90,-6.151,-5.603,0,0,1,0,0,0,0,-2.361,0.195,-0.444,0.3,-0.696,0,1,0,1.33,8.4
5,10,90,-3.104,-1.362,0,0,1,0,0,0,0,2.17,0.279,0.471,2.1,-0.082,0,1,0,0.957,9.13
5,11,90,-3.254,-0.871,0,0,0,0,1,0,0,3.891,0.315,1.022,3.308,-0.032,0,0,0,5.416,9.47
5,12,90,-2.822,-4.295,0,1,0,0,0,0,0,1.7,0.315,1.115,0.778,0.124,0,1,0,0.386,9.47
5,13,90,-7.272,-6.315,0,0,0,0,0,1,0,-1.668,0.294,-2.258,-0.631,-0.517,0,0,0,11.152,9.27
5,14,90,-3.006,-2.503,1,0,0,0,0,0,0,0.107,0.291,-2.212,-0.281,0.211,0,0,0,0.299,9.24
5,15,90,-4.368,-3.735,0,0,0,1,0,0,0,-2.024,-0.058,-0.109,0.438,-1.263,0,1,0,1.539,6.52
5,16,90,-4.583,-2.995,0,0,1,0,0,0,0,0.496,0.339,-0.438,1.598,-0.355,0,1,0,1.287,9.7
5,17,90,-2.121,-1.227,1,0,0,0,0,0,0,1.4,0.333,-1.838,0.441,0.174,0,0,0,0.327,9.64
5,18,90,-2.403,-1.167,0,1,0,0,0,0,0,3.331,0.207,0.673,2.293,-0.092,0,1,0,0.592,8.5
5,19,90,-2.894,-0.845,0,0,0,0,1,0,0,5.281,0.559,-1.498,3.76,0.219,0,0,0,4.259,12.09
6,1,90,-8.816,-8.434,0,0,0,0,0,1,0,0.504,-0.217,-1.898,1.153,-0.511,0,0,0,9.453,8.72
6,2,90,-4.908,-5.433,0,0,1,0,0,0,0,0.182,-0.234,1.825,0.358,-0.375,0,0,1,0.894,8.57
6,3,90,-4.337,-8.061,0,0,1,0,0,0,0,1.049,-0.147,3.079,0.483,-0.105,0,0,0,1.025,9.35
6,4,90,-5.845,-6.184,0,0,0,0,1,0,0,1.736,-0.082,-1.717,1.643,-0.151,0,0,0,3.906,9.98
6,5,90,-4.126,-5.363,0,1,0,0,0,0,0,-0.037,-0.449,2.089,0.111,-0.239,0,0,0,0.55,6.91
6,6,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.83
6,7,90,-3.808,-3.717,0,0,1,0,0,0,0,3.044,-0.127,1.947,2.316,-0.101,0,0,0,1.188,9.54
6,8,90,-2.412,-2.088,0,1,0,0,0,0,0,3.462,-0.047,2.843,2.484,-0.051,0,0,0,0.689,10.33
6,9,90,-6.941,-7.63,0,0,0,1,0,0,0,-2.398,-0.254,1.645,0.411,-0.935,0,0,0,1.531,8.4
6,10,90,-3.756,-3.251,0,0,1,0,0,0,0,2.133,-0.171,2.561,2.211,-0.321,0,0,0,1.368,9.13
6,11,90,-3.631,-2.485,0,0,0,0,1,0,0,3.854,-0.134,3.111,3.419,-0.271,0,0,0,4.873,9.47
6,12,90,-4.262,-6.972,0,0,1,0,0,0,0,1.663,-0.134,3.205,0.889,-0.115,0,0,0,0.936,9.47
6,13,90,-9.623,-9.903,0,0,0,0,0,1,0,-1.705,-0.156,-0.168,-0.52,-0.756,0,0,0,10.604,9.27
6,14,90,-4.154,-4.888,0,1,0,0,0,0,0,0.07,-0.159,-0.122,-0.17,-0.028,0,0,1,0.491,9.24
6,15,90,-5.258,-5.861,0,0,0,1,0,0,0,-2.061,-0.507,1.981,0.548,-1.502,0,0,0,2.089,6.52
6,16,90,-5.435,-5.084,0,0,0,1,0,0,0,0.459,-0.11,1.651,1.709,-0.593,0,0,0,1.832,9.7
6,17,90,-2.7,-3.043,1,0,0,0,0,0,1,1.363,-0.116,0.251,0.552,-0.065,0,0,1,0.246,9.64
6,18,90,-3.279,-3.28,0,0,1,0,0,0,0,3.294,-0.242,2.762,2.404,-0.331,0,0,0,1.133,8.5
6,19,90,-3.583,-2.771,0,0,0,0,1,0,0,5.244,0.11,0.592,3.87,-0.02,0,0,0,4.442,12.09
7,1,90,-7.448,-7.158,0,0,0,0,0,1,0,-2.54,-0.09,-3.845,-1.163,-0.41,0,0,0,10.517,8.72
7,2,90,-5.487,-6.104,0,1,0,0,0,0,0,-2.861,-0.107,-0.122,-1.958,-0.274,0,0,0,0.645,8.57
7,3,90,-3.236,-7.051,1,0,0,0,0,0,1,-1.995,-0.02,1.131,-1.833,-0.004,1,1,0,0.165,9.35
7,4,90,-6.142,-6.573,0,0,0,0,1,0,0,-1.308,0.045,-3.664,-0.674,-0.051,0,0,0,3.519,9.98
7,5,90,-5.64,-6.969,0,1,0,0,0,0,0,-3.081,-0.323,0.142,-2.205,-0.138,0,1,0,0.639,6.91
7,6,90,-5.671,-5.763,0,0,1,0,0,0,0,-3.044,0.127,-1.947,-2.316,0.101,0,0,0,1.188,10.83
7,7,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9.54
7,8,90,-2.331,-2.099,0,1,0,0,0,0,1,0.418,0.08,0.895,0.168,0.049,0,1,0,0.545,10.33
7,9,90,-6.812,-7.593,0,0,1,0,0,0,0,-5.442,-0.127,-0.302,-1.905,-0.834,0,1,0,1.303,8.4
7,10,90,-2.921,-2.508,0,1,0,0,0,0,1,-0.911,-0.044,0.614,-0.106,-0.22,0,1,0,0.694,9.13
7,11,90,-4.237,-3.183,0,0,0,0,0,1,0,0.811,-0.007,1.164,1.102,-0.17,0,0,0,6.052,9.47
7,12,90,-3.886,-6.688,1,0,0,0,0,0,0,-1.381,-0.007,1.257,-1.427,-0.014,0,1,0,0.266,9.47
7,13,90,-8.413,-8.785,0,0,0,0,0,1,0,-4.748,-0.029,-2.116,-2.836,-0.655,0,0,0,11.791,9.27
7,14,90,-5.553,-6.379,0,0,1,0,0,0,0,-2.973,-0.032,-2.07,-2.487,0.073,0,0,0,0.836,9.24
7,15,90,-5.257,-5.952,0,0,1,0,0,0,0,-5.105,-0.381,0.034,-1.768,-1.401,0,1,0,0.902,6.52
7,16,90,-3.819,-3.56,0,1,0,0,0,0,1,-2.585,0.017,-0.296,-0.607,-0.493,0,1,0,0.652,9.7
7,17,90,-5.011,-5.445,0,0,1,0,0,0,0,-1.68,0.01,-1.696,-1.765,0.036,0,0,0,0.963,9.64
7,18,90,-3.307,-3.4,1,0,0,0,0,0,0,0.25,-0.115,0.815,0.087,-0.23,0,1,0,0.213,8.5
7,19,90,-3.489,-2.769,0,0,0,0,1,0,0,2.2,0.237,-1.356,1.554,0.081,0,0,0,4.146,12.09
8,1,90,-7.439,-7.381,0,0,0,0,0,1,0,-2.958,-0.169,-4.741,-1.331,-0.459,0,0,0,9.987,8.72
8,2,90,-4.076,-4.925,1,0,0,0,0,0,1,-3.279,-0.187,-1.017,-2.126,-0.323,1,0,0,0.326,8.57
8,3,90,-3.623,-7.671,0,1,0,0,0,0,1,-2.413,-0.1,0.236,-2.001,-0.054,0,1,0,0.403,9.35
8,4,90,-6.212,-6.875,0,0,0,0,1,0,0,-1.726,-0.034,-4.559,-0.841,-0.1,0,0,0,3.816,9.98
8,5,90,-5.071,-6.632,1,0,0,0,0,0,1,-3.499,-0.402,-0.753,-2.373,-0.187,0,1,0,0.224,6.91
8,6,90,-5.572,-5.896,0,1,0,0,0,0,0,-3.462,0.047,-2.843,-2.484,0.051,0,0,0,0.689,10.83
8,7,90,-3.231,-3.464,0,1,0,0,0,0,1,-0.418,-0.08,-0.895,-0.168,-0.049,0,1,0,0.545,9.54
8,8,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10.33
8,9,90,-6.286,-7.299,0,0,1,0,0,0,0,-5.86,-0.207,-1.197,-2.073,-0.883,0,1,0,1.119,8.4
8,10,90,-3.34,-3.159,0,1,0,0,0,0,1,-1.329,-0.123,-0.282,-0.273,-0.269,0,1,0,0.736,9.13
8,11,90,-3.909,-3.087,0,0,0,0,1,0,0,0.393,-0.087,0.268,0.935,-0.219,0,0,0,5.558,9.47
8,12,90,-3.474,-6.507,1,0,0,0,0,0,1,-1.799,-0.087,0.362,-1.595,-0.064,0,1,0,0.358,9.47
8,13,90,-8.286,-8.889,0,0,0,0,0,1,0,-5.166,-0.108,-3.011,-3.004,-0.704,0,0,0,11.266,9.27
8,14,90,-5.492,-6.55,0,1,0,0,0,0,0,-3.392,-0.112,-2.965,-2.654,0.024,0,0,0,0.523,9.24
8,15,90,-5.755,-6.682,0,0,1,0,0,0,0,-5.523,-0.46,-0.862,-1.936,-1.45,0,1,0,1.435,6.52
8,16,90,-4.773,-4.746,0,0,1,0,0,0,0,-3.003,-0.063,-1.191,-0.775,-0.542,0,1,0,1.159,9.7
